"Date","Commercial Banks & NFIs â€“ Credit to the Private Sector (TT$Mn)","Currency in Active Circulation (TT$Mn)","Commercial Bank Reserves with Central Bank (TT$Mn)","Demand Deposits (Adj.) (TT$Mn)","Saving Deposits (Adj.) (TT$Mn)","Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Demand Deposits (Adj.) (TT$Mn)","NFIs - Foreign Currency Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Savings Deposits (Adj.) (TT$Mn)","Banking System: Net Domestic Credit (TT$Mn)","Loans and Advances to Central Government (TT$Mn)","Banking System: Credit to the Private Sector (TT$Mn)","Base Money M-0 (TT$Mn)","Narrow Money M-1A (TT$Mn)","Money Supply M-1C (TT$Mn)","Money Supply M-2 (TT$Mn)","Money Supply M-2* (TT$Mn)","Money Supply M-3 (TT$Mn)","Money Supply M-3* (TT$Mn)","Quasi Money (TT$Mn)","Commercial Banks & NFIs - Total Deposits Outstanding (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Unincorporated Businesses (TT$Mn)","Banking System Investments (TT$Mn)","Commercial Banks & NFIs - Total Investment (Net) - TT$Mn","Commercial Banks & NFIs - Reserves (TT$Mn)","Commercial Banks & NFIs - Share Capital (TT$Mn)","Commercial Banks & NFIs - Total Loans Outstanding (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Loans (Net) (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Unincorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Other Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Real Estate Mortgage Loans (TT$Mn)","Commercial Banks & NFIs - Regulatory Capital to Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier I Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier II Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Capital-to-Total Assets (%)","Commercial Banks & NFIs - Net Open Position in Foreign Exchange-to-Capital (%)","Commercial Banks & NFIs - Non-Performing Loans-to-Gross Loans (%)","Commercial Banks & NFIs - Non-Performing Loans (Net of Provisions)-to-Capital (%)","Commercial Banks & NFIs - Total Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - General Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Return on Assets (%)","Commercial Banks & NFIs - Return on Equity (%)","Commercial Banks & NFIs - Interest Margin-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Income-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Expenses-to-Gross Income (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Assets (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Short-Term Liabilities (%)","Commercial Banks & NFIs - Customer Deposits-to-Total (Non-Interbank) Loans (%)","Commercial Banks & NFIs - Foreign Currency Liabilities-to-Total Liabilities (%)"
"2019","66841","4782.3","20862","38254.4","34967.6","11470.9","24223.6","3690.8","7841.2","656","14073.7","54887.7","-20149.8","62451","25644.3","43036.7","78004.3","89475.2","113699","91251.8","116131","46438.5","117240","55337.1","28630.1","7127.1","13017.4","9219.4","3909.1","31112.7","32630.1","4223","23144","79734.1","37092.5","28628.9","78222.5","8127.5","1279.3","2508.5","2097.4","11642.9","158796","24066.7","23.6","22.3","1.2","13","11.2","3.1","5.4","61.6","48.8","0.4","1.5","3.6","24.3","60.2","39.8","53.5","21.5","27.9","150.3","25.8"
"2018","63900","7941.2","16082.5","37035.6","34218","10231.1","24416.5","3391.5","7232.6","906","14979.3","44892.6","-26287.5","59887.6","24023.7","44976.8","79194.8","89425.8","113842","90886.5","116209","44449","110825","54149.5","28829.8","3777.9","11806.4","8704.4","3557.4","34450.7","36361.3","1714.5","21316.4","74126.5","34213.5","27104","72533.6","6879.5","1050.2","2630.2","2249","12078.7","149466","21334.3","23.3","23.5","-0.2","12.7","14.4","3.1","5.1","68.6","53.4","0.5","1.7","3","20.2","64.5","35.5","58.4","19","24.4","153.2","26.4"
"2017","61239.1","8104.1","17092.3","35908.7","32578.3","10163.5","23986.1","3689","7228.4","398.5","14247.6","40278.9","-27879.9","56945.1","25196.4","44012.7","76591","86754.6","110741","88337","112722","42741.8","107058","52658.4","26528.4","3044.8","10985","9165.2","4676.4","34907.3","34690.6","1540.5","22279.4","70888.6","32421.7","26519","69497.2","5390","653.8","4007.9","1896.2","11701.8","145650","19983.3","23.4","23.1","0.2","12.9","16.9","3","5.9","65.6","37.8","0.8","1.1","2.9","19","64.7","35.3","58.1","19.7","25.3","154.7","26.4"
"2016","58534.7","7846.6","18772.7","37537.2","32630.2","10622.2","23866.3","3227.9","6400.5","988.2","15839.1","34836.3","-31113.8","54189.4","26619.3","45383.8","78014","88636.2","112502","90531.8","115386","43252.4","109946","53218.2","27428.5","3678.7","11379.6","10130.7","4110.4","37647.1","37086.1","1748.7","21607.1","68407.2","30637.7","25356.4","67096.7","6051.6","573.2","3933.4","1855","11442.4","148068","18457.4","23.8","23","0.8","12.5","13.8","3.2","6.3","60.3","37.4","0.7","1.2","2.9","19.9","62","38","60","21.8","27.8","164.6","26"
"2015","56661.3","7649.8","22023.1","36604.2","31886.9","9729.6","22249.7","3398.1","7189.3","593.6","13260.1","22310.4","-41801.6","52478.2","29672.9","44254","76140.9","85870.5","108120","87533.9","110367","41616.5","105046","52293.8","23810.9","3837.6","9525.8","10813.7","4764.6","34361.1","29894.5","1666.4","22739.5","67183.6","28989.2","25034","65833.6","6890","396.1","4174.8","1699.5","11099.8","143894","20934.2","24.1","25","-0.9","12.6","9.7","3.7","6.3","54.3","42.1","0.4","1.6","2.9","18.4","58.3","41.7","61.7","23.1","30.6","159.8","25.4"
"2014","53422.1","6895.1","26832","40824.1","29899.5","9509.7","20961.8","3120.7","7052.2","719.7","12006.2","17735.1","-41426.8","49148","33727.1","47719.2","77618.7","87128.3","108090","89087.8","110769","39409.2","105362","48679.2","24645.9","5464.4","9251.5","12105.8","5215.1","38267.7","30740","1765.5","21646.4","62005.7","26772.3","24607.8","60557.2","5888.9","632.7","2599.2","1504.9","12264.9","143248","19474.6","24.6","24.3","0.3","12.5","6.6","4.4","7.3","53","42.3","0.5","1.9","2.1","13.7","57","43","67","25","32.5","174.3","23.8"
"2013","49756.6","6050","26094.8","34073.6","27437.8","9473.2","21618.9","4203.5","7454","592.5","11290.6","20522.7","-33300.7","45855.2","32144.8","40123.6","67561.4","77034.6","98653.5","78643.3","100855","36911","97254.5","46322.5","20741.5","5708.7","7196.7","13076.7","4208.4","35803.8","30612.8","1646.7","21587.5","55753.1","24569.6","23222.5","54552.5","3504.4","269.6","2473.2","1713.7","12679.7","135136","17967.8","25","23.7","1.3","13.3","13.9","4.3","7","49.9","37.4","0.5","1.6","2.5","16","59.5","40.5","62.2","26.8","35.7","178.3","26"
"2012","48100.4","5395.5","22145","30285.4","24748.5","10391.9","23458","4651.4","9354.8","322.6","10564.2","37622.4","-14080.6","44208.8","27540.5","35680.9","60429.3","70821.2","94279.2","72121.1","95901.7","35140.3","92154","43357.6","18484","4981.1","7395.3","14642.6","3293.5","35786.3","31186.1","1545.8","20701","53577","22444.3","23351.3","52110.3","3397.5","724.2","2136.3","1523.5","12880.1","129638","16696.2","25.7","24.3","1.5","13.3","10.7","5.5","8.5","49.9","39.9","0.5","2.2","3","18.5","61.1","38.9","61.3","24.7","33.1","176.9","28.6"
"2011","47136.1","4689.9","21077.9","26494.9","22468.4","10356","19510.1","4599.9","5714.6","459.7","10112.1","33635.6","-15665.6","41975.5","25767.8","31184.8","53653.2","64009.2","83519.3","65302.6","85272.4","32824.3","82854.9","39102.7","16525.1","4249.7","8704.2","11863.3","2410","24787.9","23640","1625.7","18829.8","51753","21011.7","23242.2","50586.4","3575.5","527.5","1932.5","1463.6","13706","120962","15267","26","24.3","1.7","13.5","10.4","6.2","11.9","36.7","29.5","0.4","1.8","2.8","17.7","61.5","38.5","58.1","26.7","37.3","163.8","27.9"
"2010","45451.9","4242.4","16181","21040.7","19953.3","10981.4","18926.3","5973","4262.4","790.5","9339.4","33960.6","-14173.2","39933.1","20423.4","25283.1","45236.3","56217.7","75144","57396.8","77113.6","30934.6","75548","36689.4","14872.5","4552.7","7073.5","10139.2","2220.7","24444.6","22178.3","1344.5","18065.1","51050.7","19997.8","22148.4","49856.5","4239.1","723","2546.3","1396.1","13972.5","114885","14119.3","25.7","23.5","2.2","14","6","5.8","10.9","40","33.8","0.4","2","2.3","15.1","62.8","37.2","64","22.9","31.9","151.8","29.7"
"2009","46492.2","3850","14558.5","19310.3","17702.6","12681.5","22930.1","8278","5979.2","154.7","9492.9","33019","-16060","41244.6","18408.4","23160.3","40862.9","53544.4","76474.5","54493.6","77578.3","30384.1","75571","34059.8","16989.8","7759.9","6720.4","8213.4","1827.7","22435.7","21811.3","1308","16763.2","51374.1","18954.7","23142.1","50060.4","3774.5","1653.7","2281","1568.1","17416.9","117822","13248.3","21.8","20.1","1.6","12.3","6.1","4.6","7.4","55.1","47.8","0.3","2.2","2.6","17.5","66","34","60.4","24.1","33.8","151.5","35.7"
"2008","48272","3433.7","10605.1","13226","13830.6","11680.2","16112.7","6510.2","4442.3","3428.8","5848.2","16254.5","-31889.8","43103.8","14038.8","16659.7","30490.3","42170.5","58283.2","45766.5","65308","25510.8","63514","26137.1","18345","6763.1","5795.5","4889.2","1584.2","14015.3","22566.4","1183","16227.2","51888.6","19206.4","25296.4","51335.7","1975.2","1973.2","1744.8","1692.6","24954.5","115211","11186.2","19.1","16.6","2.6","11.9","6.3","2.9","7.2","36.1","23.4","0.4","0.7","3.1","21.8","63","37","51.8","19.2","27.3","124.4","40.5"
"2007","44013","3182.8","6086.6","11939.3","13001.7","9186.1","11923.5","5270.1","3016.5","3516.9","4499.4","20164.8","-22293.3","37635.2","9269.3","15122.1","28123.8","37309.9","49233.3","40034.3","55463.4","22187.8","54155.1","23442.7","14595.8","4524.4","4975","4968.9","1648.3","13821.8","21666.9","2111.4","14116.1","46588.2","17771","22469.4","46020.4","1430","1224.4","2176.7","1516.7","25647.9","103868","9058.6","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2006","38530.5","2654.4","5688","10853.5","11523.7","7828.4","10505.5","4119","3171.5","3684.8","4030.3","7748.4","-26868.6","31333.7","8342.4","13507.9","25031.6","32859.9","43365.4","35269.4","49459.3","19352.1","48911.2","20238.2","14283.8","2741","4400.5","5587","1660.8","12229.6","20617","1058.8","12568.1","40297.1","14890.3","19366.5","39727.6","1770.2","1165.6","1608.3","1496.1","24363.6","92911.9","8137.5","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2005","34100.9","2425.4","4672.5","9890.7","9967.3","5729","7362.3","2216.2","3017.7","3307.1","2934","11918.3","-18923","26956.6","7097.9","12316.1","22283.4","28012.4","35374.7","29941.2","40610.4","15696.3","40015","18216.7","11645.7","1697.6","3953.5","3269.9","1231.6","11543.2","21534.2","759.9","11266.7","34815.2","12907.2","15337.9","34198","1962","1247","1672","1689.1","23154.6","82888.6","7317","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2004","28876.1","1957.4","2782.5","6420.2","8952.4","3511.1","6987.8","1963.6","3506.7","3621.4","2479.4","13623.8","-10762.8","22242.9","4739.9","8377.6","17330.1","20841.2","27829","23908.5","34498.2","12463.5","34552.1","16761.9","9778.1","913.2","3416.8","2749.1","933","10904.7","19865.3","846.5","10602.4","27537.5","10522.1","12858.2","26969.2","507.7","1052.1","1367.8","1229.6","19890.3","71177.3","6244","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2003","24609.5","1708.6","2955.3","5600.8","8264.2","3019.6","4296.1","1587.5","2278.2","1827","2180.6","15406.3","-5040.8","18405.8","4663.8","7309.4","15573.7","18593.3","22889.4","22619.2","28738","11283.8","30026.8","17625.4","5886.1","942.4","3074.4","1858.6","639.9","9890.3","17543.5","983.3","8570.1","23520.9","8819.9","10800.3","22927.1","615","1294.4","910.9","1080.5","17183.4","62676.5","5564.2","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2002","22993.7","1501.8","3071.6","5829.8","6778.7","3399.9","5513.1","2009.8","2079.5","1520.7","2010","15935.3","-3796.7","16890","4573.4","7331.6","14110.2","17510.1","23023.2","21495.6","28527.4","10178.5","28290.7","15766.7","5611","552.3","3538.9","2046.6","775.1","8220.9","15359.6","646.5","7229.3","21232.3","8628.7","9677.7","20543.4","633.6","363.5","900.9","1027.9","14743.1","56246.7","5415.3","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2001","23076","1373.5","3465.8","5322.1","6634.3","3869.7","4995.4","2348.7","1043.2","1993.6","1825.2","15095.8","-3427.1","15552.4","4839.3","6695.6","13329.9","17199.6","22195.1","21615.2","28572","10504","28158.7","16328.1","5460.8","602.8","2857.1","2357.2","552.7","7746.9","14562","549.6","6274","20218.4","8189.9","9036.8","19596.7","749.4","235","952.1","1055.1","13780.9","53253","4924.4","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2000","21154.8","1271","2943","3616.2","5796.5","3281.2","5253.8","2520.9","1081.3","1601.6","1713.7","14475.6","-2069","15007.2","4214","4887.2","10683.7","13964.9","19218.7","17961.3","24763.2","9077.7","24235.3","15028.1","4143.8","574.4","2643.7","1229.9","615.3","6087","11994.3","537.2","5421.3","18342.8","7827.8","8290.5","17863.6","250.9","337.7","607.8","1027.9","14126.4","46881.9","4649.3","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1999","18558.9","1292.4","2557.7","2989.5","5487.1","3288.4","4158.3","1878.8","718.2","1709","1601","15750.4","641.7","13316.7","3850.1","4281.9","9769","13057.5","17215.8","17359.8","23215.2","8775.5","22594.3","14372.4","3291.8","293.9","2584.5","1573.9","477.9","5453.7","10559.6","563.4","4229.7","16563.5","7718.1","6561.3","16130.2","490.9","303.6","443.4","1046.2","11089.1","40497.2","4312.4","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1998","15494.5","1020.1","2770","3052.2","5324.4","3611.9","3885.2","1944","699.5","720.6","1384.5","14506.8","1304.3","11324.6","3790.1","4072.4","9396.8","13008.7","16893.9","16588.9","21142","8936.4","20650.6","13735.2","2853.1","451.2","1935.9","1329.2","345.9","4725.3","7790.5","384.4","3522.7","14852.3","6711.9","5444.4","14440","886.3","279.6","192.1","1338","9041.2","35375.3","4091.1","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1997","14598.3","1063","2512.3","2835.2","4903.8","2765.2","3351.6","1712.6","625.6","573.3","1117.2","14954.4","1523.8","11323.1","3575.4","3898.2","8802","11567.2","14918.8","14250.8","18100.9","7669","17610.7","12039.4","2652.9","401.9","1070.4","1016.8","429.3","7609.2","10321.1","318.7","2987.4","13256.1","6007.6","5276.2","12840.8","710.5","243.1","97.8","920.9","12715.1","35157.7","3814","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1996","11073","909.8","2122.3","2406.4","4305.3","2746.8","2967.8","1709.2","390.9","295.8","978","11973.7","638.7","9609.2","3032.1","3316.2","7621.4","10368.3","13336","12866.4","16109.3","7052.1","16082.2","11477.5","1812.1","396.6","1203.6","949.5","243","5898.7","7808.2","335.7","2364.4","10948","4403.8","4435","10522.9","737.9","303.6","168.4","899.5","9517.1","29624.7","3644.6","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1995","10347.9","832.8","2013.2","2474.5","4112.4","3033.2","2194.1","1590","201.1","187.6","671.8","11422.3","1296.2","8437.5","2846","3307.3","7419.7","10453","12647.1","13158.4","15499","7145.6","15469.2","10581.8","1593.4","697.5","1385.1","1000.8","210.6","4212.5","5953.2","300.2","1948.2","10203.4","4222.1","4009.7","9758.4","627.9","251.8","149","942.9","6974.4","25883","3518.1","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1994","n.d","744.6","2115.5","2327.7","3687.9","3340.3","1817.2","n.d","n.d","n.d","n.d","10689.7","1809.6","7436.1","2860.1","3072.3","6760.2","10100.5","11917.7","12311.1","14128.3","7028.2","n.d","n.d","n.d","n.d","n.d","n.d","n.d","3169.3","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1993","n.d","748.5","1070.8","1743.5","3388.8","3598.9","875.3","n.d","n.d","n.d","n.d","11616.7","2218.3","7994.1","1819.3","2492","5880.8","9479.7","10355","11664.8","12540.1","6987.7","n.d","n.d","n.d","n.d","n.d","n.d","n.d","1638.1","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1992","n.d","697.9","1148.1","1579.5","3319.5","3661.5","n.d","n.d","n.d","n.d","n.d","12417.1","3240","7724.2","1663.5","2277.4","5596.9","9258.4","9258.4","n.d","n.d","6981","n.d","n.d","n.d","n.d","n.d","n.d","n.d","1146.8","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"1991","n.d","747.8","1321.4","1310.4","3133.4","4198","n.d","n.d","n.d","n.d","n.d","10801.5","2772.9","6463.9","1715.2","2058.2","5191.6","9389.6","9389.6","n.d","n.d","7331.4","n.d","n.d","n.d","n.d","n.d","n.d","n.d","903","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"